,div,p
0,"IOI Group is open and committed to listening to our stakeholder's opinions and ideas. Aside from making this report accessible online on our corporate website at https://www.ioigroup.com, the Group also encourages feedback from our readers. Any comments pertaining to our sustainability performance and management approach as well as other matters regarding the report can be addressed to: dr surina Ismail Group Head of Sustainability","[""IOI Group is open and committed to listening to our stakeholder's opinions and ideas. Aside from making this report accessible online on our corporate website at https://www.ioigroup.com, the Group also encourages feedback from our readers. Any comments pertaining to our sustainability performance and management approach as well as other matters regarding the report can be addressed to: dr surina Ismail Group Head of Sustainability""]"
1,"deaR stakeHoldeRs, as the world gradually emerges from the unprecedented crisis brought about by covId-19 pandemic, IoI is mindful that we should continue to keep our focus on the longer-term challenge of climate change and the need to make the right choices for a sustainable and prosperous future. nevertheless however, at this key moment, it is important for us to recognise the contributions of our frontline employees, namely the estate and factory workers whose commitment and discipline at this time has been critical towards maintaining our operations and business continuity.","['deaR stakeHoldeRs, as the world gradually emerges from the unprecedented crisis brought about by covId-19 pandemic, IoI is mindful that we should continue to keep our focus on the longer-term challenge of climate change and the need to make the right choices for a sustainable and prosperous future. nevertheless however, at this key moment, it is important for us to recognise the contributions of our frontline employees, namely the estate and factory workers whose commitment and discipline at this time has been critical towards maintaining our operations and business continuity.']"
2,"Group Managing Director and Chief ExecutiveUnderstanding that the safety of all of us is paramount, IOI has taken firm steps to minimise our risk of exposure to the coronavirus by ensuring all guidelines and information are conveyed in all the languages of our workers, that Standard Operating Procedure (""SOP"") on quarantine, personal hygiene and medical assistance are in place, and all preventive measures are implemented. We have started an initiative to make our own masks that meet the N95 mask requirements so that we do not compete with our nation's front-liners for the availability of masks for their protection against the COVID-19 virus during their line of duty. I am proud to say that, as a company, we continue to face this adversity with resilience, flexibility and high team spirit.The embodiment of these characteristic core values is reflected in our current theme ""Poised to expand our Green Footprint"". The theme illustrates IOI's sustainability journey as we transition to a low carbon future. We have identified specific directions and targets to address issues such as high carbon stock conservation, peat management, waste management, energy ef ciency and by-product utilisation. The vision of a low carbon future within the larger context of climate change is addressed in IOI's Five-Year Strategic Plan (2020-2024 and is aligned with the six UN SDGs 2, 8, 12, 13, 15 and 17 which we have adopted since 2017. I shall highlight the strategic initiatives in the Five-Year Strategic Plan for further elaboration.","['Understanding that the safety of all of us is paramount, IOI has taken firm steps to minimise our risk of exposure to the coronavirus by ensuring all guidelines and information are conveyed in all the languages of our workers, that Standard Operating Procedure (""SOP"") on quarantine, personal hygiene and medical assistance are in place, and all preventive measures are implemented. We have started an initiative to make our own masks that meet the N95 mask requirements so that we do not compete with our nation\'s front-liners for the availability of masks for their protection against the COVID-19 virus during their line of duty. I am proud to say that, as a company, we continue to face this adversity with resilience, flexibility and high team spirit.', 'The embodiment of these characteristic core values is reflected in our current theme ""Poised to expand our Green Footprint"". The theme illustrates IOI\'s sustainability journey as we transition to a low carbon future. We have identified specific directions and targets to address issues such as high carbon stock conservation, peat management, waste management, energy ef ciency and by-product utilisation. The vision of a low carbon future within the larger context of climate change is addressed in IOI\'s  Five-Year Strategic Plan (2020 -2024  and is aligned with the six UN SDGs 2, 8, 12, 13, 15 and 17 which we have adopted since 2017. I shall highlight the strategic initiatives in the Five-Year Strategic Plan for further elaboration.']"
3,"INCREASE OIL YIELD FROM EXISTING PLANTATIONSCulminating from years of research by our palm biotechnology center using cutting edge tissue-culture cloning and genomic technology, we are beginning to see the results in higher oil extraction rate (""OER"") achieved from our mills. For example, two of IOI's palm oil mills in Peninsular Malaysia have achieved average OER above 24% in FY2020. These OER are about 20% higher than the national average OER and have the potential to increase further as our mills process more of the younger-generation crop. From the perspective of the UN SDGs, the higher oil yields represent a more efficient and more sustainable yield as well as more efficient use of land which is in line with SDGs 2, 12 and 13.Body temperature checks are done on all guests, staff and contractors before admissionOur workers cultivating oil palm seedlings at one of our nurseries IOI's biogas plant and methane capture in Ladang Sabah Palm Oil MillThe COVID-19 pandemic has created a huge crisis in public health that has impacted governments, social institutions and businesses. At IOI, we believe that our sustainable and socially responsible practices as well as efficiently-run operations have enabled us to overcome the challenges in dealing with this crisis. With these challenges overcome, we can forge ahead with greater confidence to expand our green footprint and help to create a more climate friendly world.6 7• Annual management review meeting on sustainability matters was conducted at our Sabah estates in Malaysia.• Three collective agreements with the National Union of Plantation Workers (""NUPW"") were signed, giving recognition to NUPW as the representative of IOI's plantation employees.The agreements are in effect from 1 January 2020 to 31 December 2022.• EF released a video in collaboration with IOI showcasing how good labour and human rights practices positively improved workers' retention in the plantation industry.december 2019• Started land preparation and planting for rehabilitation for the Bukit Leelau Mini Landscape Project. For this project, Bukit Leelau Estate provided manpower and assistance for the planting programme with the Orang Asli community, where 5 Ha of land would be rehabilitated by IOI and another 5 Ha by the community.• IOI initiated a Labour Transformation Programme in collaboration with Earthworm Foundation to strengthen our management systems on migrant labour welfare and rights within our supply chain and to meet our no social exploitation commitments.• IOI Oleo organised ""Environment Week 2019"" campaign to increase awareness among employees, contractors and visitors on sustainability issues and to take action towards reducing impacts of climate change.• IOI participated in a supplier engagement workshop that was attended by 32 participants from 20 mutual palm oil suppliers to IOI, in the furtherance of its NDPE commitments within the palm oil supply chain.• IOI released its revised SPOP.The latest revision was based on industry's best practices and inputs from engagements with relevant stakeholders. The policy has been further expanded to strengthen our commitments on women empowerment, biodiversity and NDPE, etc..","['Culminating from years of research by our palm biotechnology center using cutting edge tissue-culture cloning and genomic technology, we are beginning to see the results in higher oil extraction rate (""OER"") achieved from our mills. For example, two of IOI\'s palm oil mills in Peninsular Malaysia have achieved average OER above 24% in FY2020. These OER are about 20% higher than the national average OER and have the potential to increase further as our mills process more of the younger-generation crop. From the perspective of the UN SDGs, the higher oil yields represent a more efficient and more sustainable yield as well as more efficient use of land which is in line with SDGs 2, 12 and 13.', 'Body temperature checks are done on all guests, staff and contractors before admission', ""Our workers cultivating oil palm seedlings at one of our nurseries IOI's biogas plant and methane capture in Ladang Sabah Palm Oil Mill"", 'The COVID-19 pandemic has created a huge crisis in public health that has impacted governments, social institutions and businesses. At IOI, we believe that our sustainable and socially responsible practices as well as efficiently-run operations have enabled us to overcome the challenges in dealing with this crisis. With these challenges overcome, we can forge ahead with greater confidence to expand our green footprint and help to create a more climate friendly world.', '6 7', '• Annual management review meeting on sustainability matters was conducted at our Sabah estates in Malaysia.', '• Three collective agreements with the National Union of Plantation Workers (""NUPW"") were signed, giving recognition to NUPW as the representative of IOI\'s plantation employees.', 'The agreements are in effect from 1 January 2020 to 31 December 2022.', ""• EF released a video in collaboration with IOI showcasing how good labour and human rights practices positively improved workers' retention in the plantation industry."", 'december 2019', '• Started land preparation and planting for rehabilitation for the Bukit Leelau Mini Landscape Project. For this project, Bukit Leelau Estate provided manpower and assistance for the planting programme with the Orang Asli community, where 5 Ha of land would be rehabilitated by IOI and another 5 Ha by the community.', '• IOI initiated a Labour Transformation Programme in collaboration with Earthworm Foundation to strengthen our management systems on migrant labour welfare and rights within our supply chain and to meet our no social exploitation commitments.', '• IOI Oleo organised ""Environment Week 2019"" campaign to increase awareness among employees, contractors and visitors on sustainability issues and to take action towards reducing impacts of climate change.', '• IOI participated in a supplier engagement workshop that was attended by 32 participants from 20 mutual palm oil suppliers to IOI, in the furtherance of its NDPE commitments within the palm oil supply chain.', '• IOI released its revised SPOP.', ""The latest revision was based on industry's best practices and inputs from engagements with relevant stakeholders. The policy has been further expanded to strengthen our commitments on women empowerment, biodiversity and NDPE, etc..""]"
4,"• IOI's Responsible SourcingGuidelines (""RSG"") was also introduced to give further clarity on IOI's roles and commitments in the supply chain• On 12 June 2020, IOI Oleo collected 50 kg of clean soap scraps. The raw soaps were then repurposed and distributed to Kechara Soap Kitchen to support the community's ""Soap for Hope"" empowerment project. • IOI won the National Occupational Safety and Health Award 2019 (Agriculture category) at the National Council for Occupational Safety and Health (""NCOSH"") Excellence Awards Dinner on 28 February 2020.• Teachers and students from Kendawangan school SMAN 2, Indonesia joined the IOI Sustainability team in an educational programme on conservation, where they planted 1,000 cashew seedlings at the rehabilitation area of the Cagar Alam Muara Kendawangan buffer zone.• IOI employees at the HQ were briefed on the revised Section 17A of the Malaysian Anti-Corruption Commission Act 2009, which is targeted to be enforced on 1 June 2020. IOI's subsidiaries will be briefed in the next stage.• As MCO was further extended, IOI introduced measures such as safe quarantines for new workers, sufficient food supplies for workers in the estates & guidelines for health and safety during the COVID-19 pandemic, translated in several languages, for the safety and wellbeing of our workforce and their families.• IOI celebrated Earth Day throughout the month of April with activities engaging its employees both physically (pre-MCO) and virtually during the MCO period.• Beginning January through mid-March, IOI held discussions with community leaders, local government, Sarawak State Representatives, CICOM, Grassroots and Dr Ramy Bulan, the Resolution Process Facilitator to formulate the Terms of Reference for Stage 3 of the Resolution Plan (Negotiations for the Final Settlement) for the IOI Pelita Land Dispute.• IOI together with Earthworm Foundation conducted an intensive focus session on labour rights and welfare in Sandakan, Sabah. The session involved Tanah Emas Mill, their internal estates, external supplying estates and smallholders.• In line with IOI's commitment towards the Zero Burning Policy and Fire Prevention Approach, a series of fire prevention and emergency response training was conducted for our employees in PT Sawit Nabati Agro (""SNA""). The training include fire preventive measures, roles and functions of the patrolling team, emergency response in the event of fire, etc..• IOI Pan-Century Oleochemicals (""IOI Pan-Cen"") organised a beach cleaning activity at Tanjung Sedili in Johor, in line with the International Coastal Clean-Up Day on 21 September 2019. Contribution of N95 facial masks were also given to the villagers affected by the haze.• As part of our responsible sourcing implementation programme, EF published a second instalment regarding our supply base's progress in meeting NDPE requirements which covered Key Performance Indicators (""KPIs"") on Peat, Children in Plantation, Traceability and Freedom of Association for our supply chain.• IOI Corporation Berhad is 100% Malaysian Sustainable Palm Oil (""MSPO"")-certified across its 84 estates and 14 mills in Malaysia.• At the end of November, an annual management review meetings on sustainability matters was conducted at our Indonesian concession in Kalimantan • On 10 March 2020, IOI Oleo conducted a Sustainability Steering Committee Meeting to discuss on matters such as sustainability performance against targets and goals, policies, resources, major projects, etc..• IOI Group introduced measures that enable our employees to work from home in response to the MCO that was introduced by the Malaysian government on 18 March 2020 due to the COVID-19 pandemic. As previous years, our sustainability commitments based on the SPOP remain our anchor in our sustainability journey. The SPOP serves as the foundation for the identification of potential materiality topics for our materiality assessment. Accordingly, we have identified the top 13 most prominent sustainability matters most relevant to our business and stakeholders. Additionally, material topics were also identified and selected based on IOI's business strategy as well as the execution of our Sustainability Implementation Plan (""SIP"").The identification process was also undertaken by a series of internal and external stakeholders' engagement and questionnaires. These material topics were then reviewed and analysed with regards to social, environmental and corporate governance based on stakeholders' feedback, external reports, sustainability frameworks, certifications, rating and assessment. Following the identification and assessment process, prioritisation of the top 13 identified material matters was carried out based on two important dimensions:1. The significance to the Group's Economic, Environmental and Social Impacts (x-axis);2. The Influence on Stakeholder Assessment Decisions (y-axis). ","['Guidelines (""RSG"") was also introduced to give further clarity on IOI\'s roles and commitments in the supply chain', '• On 12 June 2020, IOI Oleo collected 50 kg of clean soap scraps. The raw soaps were then repurposed and distributed to Kechara Soap Kitchen to support the community\'s ""Soap for Hope"" empowerment project. • IOI won the National Occupational Safety and Health Award 2019 (Agriculture category) at the National Council for Occupational Safety and Health (""NCOSH"") Excellence Awards Dinner on 28 February 2020.', '• Teachers and students from Kendawangan school SMAN 2, Indonesia joined the IOI Sustainability team in an educational programme on conservation, where they planted 1,000 cashew seedlings at the rehabilitation area of the Cagar Alam Muara Kendawangan buffer zone.', ""• IOI employees at the HQ were briefed on the revised Section 17A of the Malaysian Anti-Corruption Commission Act 2009, which is targeted to be enforced on 1 June 2020. IOI's subsidiaries will be briefed in the next stage."", '• As MCO was further extended, IOI introduced measures such as safe quarantines for new workers, sufficient food supplies for workers in the estates & guidelines for health and safety during the COVID-19 pandemic, translated in several languages, for the safety and wellbeing of our workforce and their families.', '• IOI celebrated Earth Day throughout the month of April with activities engaging its employees both physically (pre-MCO) and virtually during the MCO period.', '• Beginning January through mid-March, IOI held discussions with community leaders, local government, Sarawak State Representatives, CICOM, Grassroots and Dr Ramy Bulan, the Resolution Process Facilitator to formulate the Terms of Reference for Stage 3 of the Resolution Plan (Negotiations for the Final Settlement) for the IOI Pelita Land Dispute.', '• IOI together with Earthworm Foundation conducted an intensive focus session on labour rights and welfare in Sandakan, Sabah. The session involved Tanah Emas Mill, their internal estates, external supplying estates and smallholders.', '• In line with IOI\'s commitment towards the Zero Burning Policy and Fire Prevention Approach, a series of fire prevention and emergency response training was conducted for our employees in PT Sawit Nabati Agro (""SNA""). The training include fire preventive measures, roles and functions of the patrolling team, emergency response in the event of fire, etc..', '• IOI Pan-Century Oleochemicals (""IOI Pan-Cen"") organised a beach cleaning activity at Tanjung Sedili in Johor, in line with the International Coastal Clean-Up Day on 21 September 2019. Contribution of N95 facial masks were also given to the villagers affected by the haze.', '• As part of our responsible sourcing implementation programme, EF published a second instalment regarding our supply base\'s progress in meeting NDPE requirements which covered Key Performance Indicators (""KPIs"") on Peat, Children in Plantation, Traceability and Freedom of Association for our supply chain.', '• IOI Corporation Berhad is 100% Malaysian Sustainable Palm Oil (""MSPO"")-certified across its 84 estates and 14 mills in Malaysia.', '• At the end of November, an annual management review meetings on sustainability matters was conducted at our Indonesian concession in Kalimantan • On 10 March 2020, IOI Oleo conducted a Sustainability Steering Committee Meeting to discuss on matters such as sustainability performance against targets and goals, policies, resources, major projects, etc..', '• IOI Group introduced measures that enable our employees to work from home in response to the MCO that was introduced by the Malaysian government on 18 March 2020 due to the COVID-19 pandemic. As previous years, our sustainability commitments based on the SPOP remain our anchor in our sustainability journey. The SPOP serves as the foundation for the identification of potential materiality topics for our materiality assessment. Accordingly, we have identified the top 13 most prominent sustainability matters most relevant to our business and stakeholders. Additionally, material topics were also identified and selected based on IOI\'s business strategy as well as the execution of our Sustainability Implementation Plan (""SIP"").', ""The identification process was also undertaken by a series of internal and external stakeholders' engagement and questionnaires. These material topics were then reviewed and analysed with regards to social, environmental and corporate governance based on stakeholders' feedback, external reports, sustainability frameworks, certifications, rating and assessment. Following the identification and assessment process, prioritisation of the top 13 identified material matters was carried out based on two important dimensions:"", ""1. The significance to the Group's Economic, Environmental and Social Impacts (x-axis);"", '2. The Influence on Stakeholder Assessment Decisions (y-axis). ']"
5,IoI vIsIonOur Vision is to be a leading and sustainable Malaysian business corporation with global presence.,['Our Vision is to be a leading and sustainable Malaysian business corporation with global presence.']
6,"IoI mIssIonOur Mission is to achieve responsible and sustainable commercial success by addressing the interests of all our stakeholders, caring for the community and the environment, and adopting best practices to be globally competitive.","['Our Mission is to achieve responsible and sustainable commercial success by addressing the interests of all our stakeholders, caring for the community and the environment, and adopting best practices to be globally competitive.']"
7,"IoI coRe valUesIn pursuit of our Vision and Mission, we uphold the following Core Values:IOI Corporation Berhad (""IOI"" or ""the Group"") is a leading global integrated and sustainable palm oil player listed on the Main Market of Bursa Malaysia Securities Berhad.Since venturing into the plantation business in 1983, IOI Group has consistently been ranked as one of the most efficient major plantation owners producing one of the highest oil yields in the industry. Employing more about 30,000 people in several countries, our vertically-integrated business model covers the entire palm oil value chain from upstream plantations to downstream resource-based manufacturing.The Group's upstream operations are operated by the IOI Plantation division which currently expands over 96 estates and 15 mills on more than 206,000 hectares of land in Malaysia and Indonesia, making us one of the largest plantation owners in the industry. We practice a sustainable production and consumption cycle through investing in research and development to maximise our yield, driving mechanisation and innovation in our production line, and recycling our waste products. Through these collaborative efforts, we managed to produce a total fresh fruit bunch production of 3.1 million MT, which is lower than FY2019 mainly due to aggressive replanting and delayed effects of the long dry spells in 2018 and 2019. Our Business performance can be read in the Annual Report 2020.The Group's global resource-based manufacturing business comprises downstream activities such as refining of crude palm oil and palm kernel oil, and the processing of refined palm oil and palm kernel oil into oleochemical products. IOI has six manufacturing facilities in Malaysia and Germany with combined annual refining capacity of 1.8 million MT and oleochemical production capacity of 780,000 MT. The principal activities of the oleochemical sub-segment are the manufacturing and sales of fatty acids, glycerine, soap noodles and fatty esters. The oleochemical products are exported to more than 80 countries worldwide, mainly Japan, China, Europe and the United States (""US"").A full description of the Group's integrated business model can be found in our Annual Report 2020.","['In pursuit of our Vision and Mission, we uphold the following Core Values:', 'IOI Corporation Berhad (""IOI"" or ""the Group"") is a leading global integrated and sustainable palm oil player listed on the Main Market of Bursa Malaysia Securities Berhad.', 'Since venturing into the plantation business in 1983, IOI Group has consistently been ranked as one of the most efficient major plantation owners producing one of the highest oil yields in the industry. Employing more about 30,000 people in several countries, our vertically-integrated business model covers the entire palm oil value chain from upstream plantations to downstream resource-based manufacturing.', ""The Group's upstream operations are operated by the IOI Plantation division which currently expands over 96 estates and 15 mills on more than 206,000 hectares of land in Malaysia and Indonesia, making us one of the largest plantation owners in the industry. We practice a sustainable production and consumption cycle through investing in research and development to maximise our yield, driving mechanisation and innovation in our production line, and recycling our waste products. Through these collaborative efforts, we managed to produce a total fresh fruit bunch production of 3.1 million MT, which is lower than FY2019 mainly due to aggressive replanting and delayed effects of the long dry spells in 2018 and 2019. Our Business performance can be read in the Annual Report 2020."", 'The Group\'s global resource-based manufacturing business comprises downstream activities such as refining of crude palm oil and palm kernel oil, and the processing of refined palm oil and palm kernel oil into oleochemical products. IOI has six manufacturing facilities in Malaysia and Germany with combined annual refining capacity of 1.8 million MT and oleochemical production capacity of 780,000 MT. The principal activities of the oleochemical sub-segment are the manufacturing and sales of fatty acids, glycerine, soap noodles and fatty esters. The oleochemical products are exported to more than 80 countries worldwide, mainly Japan, China, Europe and the United States (""US"").', ""A full description of the Group's integrated business model can be found in our Annual Report 2020.""]"
8,"WHo We aReABOUT US The range of internal and external stakeholders engaged were based on using a variety of techniques (including direct engagement, teleconference and email surveys). The result was presented to our Board of Directors and Group Managing Director and Chief Executive (""GMD"") for validation. As each of the 13 materiality topics shown in the materiality matrix is important, it will be covered in this report in adherence to the quality principles of accuracy, balance, clarity, comparability, reliability and timeliness. The 'High' materiality topics are IOI's most material sustainability issues, with notable impacts and which are of high concern to stakeholders. As such, these topics will be covered with more detailed information with respect to our approach, targets, performance and initiatives. ","['ABOUT US The range of internal and external stakeholders engaged were based on using a variety of techniques (including direct engagement, teleconference and email surveys). The result was presented to our Board of Directors and Group Managing Director and Chief Executive (""GMD"") for validation. As each of the 13 materiality topics shown in the materiality matrix is important, it will be covered in this report in adherence to the quality principles of accuracy, balance, clarity, comparability, reliability and timeliness. The \'High\' materiality topics are IOI\'s most material sustainability issues, with notable impacts and which are of high concern to stakeholders. As such, these topics will be covered with more detailed information with respect to our approach, targets, performance and initiatives. ']"
9,"occupational safety and HealthIOI's business demands extensive workforce, thus the safety, health and wellbeing of our people is our utmost priority. We understand that having good safety and health measures in place can significantly reduce the risk of accidents, improve our employee's wellbeing, increase operational efficiency, reduce turnover and in turn, ensures our operations proceeds smoothly. The importance of workplace safety and health in our operations is further amplified due to deleterious effect of the COVID-19 pandemic on normal operations.• Occupational safety and health are embedded within the Group's SPOP, related guidelines and throughout all business divisions & operations.• Our occupational safety & health practices meet or even exceed national laws and regulations to ensure safety throughout our operations and value chain.• Where the threat of COVID-19 is concerned, we have introduced all care and guidelines required to ensure the health & safety of our employees.• Employee ","[""IOI's business demands extensive workforce, thus the safety, health and wellbeing of our people is our utmost priority. We understand that having good safety and health measures in place can significantly reduce the risk of accidents, improve our employee's wellbeing, increase operational efficiency, reduce turnover and in turn, ensures our operations proceeds smoothly. The importance of workplace safety and health in our operations is further amplified due to deleterious effect of the COVID-19 pandemic on normal operations."", ""• Occupational safety and health are embedded within the Group's SPOP, related guidelines and throughout all business divisions & operations."", '• Our occupational safety & health practices meet or even exceed national laws and regulations to ensure safety throughout our operations and value chain.', '• Where the threat of COVID-19 is concerned, we have introduced all care and guidelines required to ensure the health & safety of our employees.', '• Employee ']"
